file name,style,color,place,object
cozy_F_2-1.png,"wood, cozy, modern","Beige, Ivory, Khaki","dining room, living room, fabric store","drop-leaf table, table linen, napery, dining table, board"
cozy_F_1.png,"wood, modern, traditional","Ivory, Beige, Khaki","dining room, living room, home office","pedestal table, drop-leaf table, furniture, piece of furniture, article of furniture"
cozy_E_2-3.png,"cozy, wood, luxury","Beige, Khaki, Ivory","bedroom, clean room, sandbox","daybed, divan bed, platform bed, baby bed, baby's bed"
cozy_E_2-1.png,"wood, cozy, modern","Beige, Khaki, Ivory","bedroom, clean room, art studio","daybed, divan bed, platform bed, studio couch, day bed"
cozy_F_2-2.png,"wood, modern, cozy","Beige, Khaki, Ivory","dining room, zen garden, living room","drop-leaf table, table linen, napery, pedestal table"
cozy_F_2-3.png,"wood, modern, cozy","Beige, Ivory, Khaki","dining room, living room, fabric store","table linen, napery, drop-leaf table, dishtowel, dish towel, tea towel"
cozy_E_2-2.png,"cozy, wood, modern","Beige, Khaki, Ivory","sandbox, clean room, bedroom","daybed, divan bed, platform bed, studio couch, day bed"
cozy_E_1.png,"wood, modern, cozy","Beige, Ivory, Khaki","living room, bedchamber, art studio","daybed, divan bed, platform bed, chaise longue, chaise, daybed"
antique_I_1.png,"traditional, industrial, luxury","Ivory, Green, Khaki","bedchamber, indoor general store, indoor museum","chiffonier, commode, secretary, writing table, escritoire, secretaire, hope chest, wedding chest"
antique_G_2-3.png,"traditional, wood, luxury","Khaki, Beige, Ivory","dining room, throne room, conference room","tea table, inkwell, inkstand, drop-leaf table"
antique_I_2-1.png,"luxury, wood, traditional","Ivory, Silver, White","indoor general store, bedchamber, mausoleum","chiffonier, commode, hope chest, wedding chest, secretary, writing table, escritoire, secretaire"
antique_G_2-2.png,"traditional, wood, office","Khaki, Ivory, Beige","dining room, throne room, recreation room","tea table, drop-leaf table, inkwell, inkstand"
antique_I_2-2.png,"bathroom, wood, luxury","Ivory, Silver, Green","indoor general store, mausoleum, bedchamber","chiffonier, commode, dressing table, dresser, vanity, toilet table, washstand, wash-hand stand"
antique_H_2-3.png,"wood, traditional, modern","Beige, Ivory, Khaki","dining room, coffee shop, art studio","pedestal table, drop-leaf table, tea table"
antique_H_2-2.png,"wood, traditional, modern","Beige, Ivory, Khaki","dining room, lobby, art studio","pedestal table, drop-leaf table, tea table"
antique_I_2-3.png,"wood, traditional, luxury","Ivory, Silver, Gray","indoor general store, bedchamber, mausoleum","chiffonier, commode, hope chest, wedding chest, secretary, writing table, escritoire, secretaire"
antique_G_1.png,"traditional, wood, luxury","Ivory, Beige, Khaki","dining room, bedchamber, recreation room","drop-leaf table, tea table, pedestal table"
antique_G_2-1.png,"traditional, wood, office","Khaki, Beige, Ivory","dining room, throne room, conference room","tea table, inkwell, inkstand, drop-leaf table"
antique_H_2-1.png,"wood, traditional, modern","Beige, Ivory, Brown","dining room, coffee shop, art studio","pedestal table, tea table, coffee table, cocktail table"
antique_H_1.png,"wood, modern, industrial","Beige, Ivory, Khaki","dining room, art studio, art gallery","tea table, tea cart, teacart, tea trolley, tea wagon, pedestal table"
nature_G_2-2.png,"wood, office, bathroom","Beige, Ivory, Khaki","art studio, excavation, sandbox","drop-leaf table, model, simulation, worktable, work table"
nature_I_2-2.png,"bathroom, luxury, cozy","Beige, Ivory, Silver","dining room, watering hole, zen garden","pedestal table, coffee table, cocktail table, tea table"
nature_G_2-3.png,"wood, office, bathroom","Beige, Ivory, Khaki","sandbox, dining room, art studio","drop-leaf table, model, simulation, dining-room furniture"
nature_H_1.png,"wood, traditional, modern","Khaki, Beige, Ivory","excavation, art gallery, art studio","base, pedestal, stand, pedestal table, drop-leaf table"
nature_G_1.png,"wood, office, modern","Beige, Ivory, Khaki","art studio, zen garden, sandbox","drop-leaf table, console table, console, base, pedestal, stand"
nature_H_2-2.png,"wood, bathroom, traditional","Beige, Khaki, Ivory","excavation, art studio, dining room","drop-leaf table, pedestal table, furniture, piece of furniture, article of furniture"
nature_I_2-3.png,"bathroom, luxury, cozy","Beige, Ivory, Khaki","watering hole, fountain, zen garden","coffee table, cocktail table, birdbath, drop-leaf table"
nature_H_2-1.png,"bathroom, traditional, modern","Beige, Khaki, Ivory","archaelogical excavation, excavation, art gallery","base, pedestal, stand, pedestal table, drop-leaf table"
nature_I_1.png,"wood, traditional, modern","Khaki, Beige, Ivory","zen garden, archaelogical excavation, excavation","base, pedestal, stand, pedestal table, birdbath"
nature_G_2-1.png,"wood, office, bathroom","Beige, Khaki, Ivory","dining room, sandbox, excavation","drop-leaf table, model, simulation, dining-room furniture"
nature_H_2-3.png,"wood, bathroom, traditional","Beige, Khaki, Ivory","excavation, archaelogical excavation, art studio","drop-leaf table, pedestal table, base, pedestal, stand"
nature_I_2-1.png,"bathroom, luxury, cozy","Beige, Ivory, Khaki","dining room, watering hole, art studio","pedestal table, coffee table, cocktail table, tea table"
industrial_E_1.png,"industrial, wood, modern","Black, Gray, Ivory","barndoor, utility room, living room","credenza, credence, chest of drawers, chest, bureau, dresser, console table, console"
industrial_F_2-3.png,"industrial, wood, modern","Khaki, Beige, Ivory","indoor general store, indoor flea market, outdoor general store","lectern, reading desk, table lamp, reading lamp"
industrial_F_2-2.png,"wood, industrial, modern","Khaki, Beige, Brown","indoor library, indoor general store, art studio","lectern, reading desk, table lamp, furniture, piece of furniture, article of furniture"
industrial_F_1.png,"industrial, wood, modern","Gray, Khaki, Ivory","barndoor, art studio, artists loft","console table, console, trestle table, drafting table, drawing table"
industrial_E_2-2.png,"industrial, wood, modern","Black, Gray, Navy","attic, art gallery, art studio","weathervane, weather vane, vane, wind vane, anvil, pendulum clock"
industrial_F_2-1.png,"wood, industrial, office","Khaki, Brown, Beige","indoor library, schoolhouse, indoor general store","lectern, reading desk, reading lamp, table lamp"
industrial_E_2-3.png,"industrial, wood, modern","Black, Gray, Navy","attic, art studio, art gallery","anvil, weathervane, weather vane, vane, wind vane, pendulum clock"
industrial_E_2-1.png,"industrial, wood, modern","Black, Gray, Navy","attic, art gallery, art studio","weathervane, weather vane, vane, wind vane, pendulum clock, anvil"
abstract_E_2-2.png,"wood, industrial, bathroom","Ivory, Beige, Khaki","dining room, entrance hall, excavation","console table, console, pedestal table, base, pedestal, stand"
abstract_E_2-3.png,"wood, modern, traditional","Ivory, Beige, Khaki","dining room, living room, excavation","pedestal table, furniture, piece of furniture, article of furniture, drop-leaf table"
abstract_E_1.png,"traditional, modern, wood","Ivory, Beige, Khaki","dining room, art studio, fountain","pedestal table, console table, console, drop-leaf table"
abstract_F_2-2.png,"science-fiction, antiuqe, modern","Silver, Gray, Black","car interior, archive, operating room","pacemaker, artificial pacemaker, lens, electron lens, eyecup, eyebath, eye cup"
abstract_F_2-3.png,"science-fiction, abstract, modern","Silver, Gray, Black","car interior, archive, fountain","model, simulation, lens, electron lens, retractor"
abstract_F_1.png,"bathroom, luxury, modern","Silver, Gray, Black","art gallery, art studio, fountain","washbasin, handbasin, washbowl, lavabo, wash-hand basin, base, pedestal, stand, agglomerator"
abstract_F_2-1.png,"science-fiction, modern, antiuqe","Silver, Gray, Black","car interior, archive, fountain","pacemaker, artificial pacemaker, lens, electron lens, eyecup, eyebath, eye cup"
abstract_E_2-1.png,"wood, modern, traditional","Ivory, Beige, Khaki","dining room, art studio, entrance hall","pedestal table, drop-leaf table, furniture, piece of furniture, article of furniture"
modern_G_2-2.png,"industrial, modern, bathroom","Silver, Gray, Ivory","watering hole, kitchen, dining room","tableware, can, tin, tin can, coffee table, cocktail table"
modern_G_1.png,"traditional, cozy, modern","Gray, Silver, Ivory","dining room, outdoor diner, cafeteria","table linen, napery, table, dining-room furniture"
modern_H_1.png,"bathroom, office, wood","Khaki, Ivory, Beige","utility room, sandbox, ticket booth","reception desk, cabinet, console, console table, console"
modern_I_2-1.png,"modern, traditional, bathroom","Ivory, Beige, Gray","art gallery, art studio, excavation","tea table, console table, console, drop-leaf table"
modern_I_1.png,"industrial, modern, traditional","Gray, Ivory, Black","dining room, art studio, utility room","console table, console, pedestal table, base, pedestal, stand"
modern_I_2-3.png,"traditional, modern, office","Ivory, Beige, Gray","dining room, art gallery, art studio","drop-leaf table, tea table, console table, console"
modern_G_2-1.png,"bathroom, cozy, wood","Silver, Gray, Ivory","watering hole, kitchen, dining room","thermos, thermos bottle, thermos flask, tableware, tea table"
modern_I_2-2.png,"modern, traditional, wood","Ivory, Beige, Gray","art gallery, dining room, art studio","drop-leaf table, tea table, console table, console"
modern_H_2-2.png,"bathroom, wood, luxury","Beige, Khaki, Brown","mausoleum, excavation, elevator lobby","base, pedestal, stand, console table, console, pedestal, plinth, footstall"
modern_H_2-1.png,"bathroom, wood, luxury","Beige, Khaki, Ivory","mausoleum, elevator lobby, dining room","console table, console, base, pedestal, stand, case, display case, showcase, vitrine"
modern_H_2-3.png,"bathroom, luxury, wood","Beige, Khaki, Ivory","mausoleum, elevator lobby, dining room","base, pedestal, stand, case, display case, showcase, vitrine, console table, console"
luxury_I_2-3.png,"office, wood, traditional","Beige, Ivory, Khaki","dining room, conference room, home office","lectern, reading desk, writing desk, reception desk"
luxury_I_2-2.png,"wood, bathroom, traditional","Ivory, Beige, Khaki","sandbox, dining room, zen garden","plate rack, dining table, board, drop-leaf table"
luxury_I_1.png,"wood, traditional, office","Ivory, Beige, Khaki","art gallery, music studio, mausoleum","theremin, hi-fi, high fidelity sound system, stereo, stereophony, stereo system, stereophonic system"
luxury_G_2-1.png,"luxury, modern, bathroom","Black, Navy, Ivory","dining room, living room, vineyard","coffee table, cocktail table, furniture, piece of furniture, article of furniture, snifter, brandy snifter, brandy glass"
luxury_H_2-3.png,"bathroom, luxury, science-fiction","Silver, Ivory, Gray","fountain, throne room, oilrig","base, pedestal, stand, tamp, tamper, tamping bar, paper fastener"
luxury_H_2-2.png,"bathroom, science-fiction, luxury","Silver, Ivory, Beige","fountain, clean room, oilrig","base, pedestal, stand, tamp, tamper, tamping bar, pedestal, plinth, footstall"
luxury_H_2-1.png,"bathroom, science-fiction, luxury","Silver, Ivory, Beige","fountain, clean room, oilrig","base, pedestal, stand, pedestal, plinth, footstall, microbalance"
luxury_H_1.png,"science-fiction, bathroom, luxury","Silver, Ivory, White","fountain, sandbox, excavation","base, pedestal, stand, pedestal, plinth, footstall, pedestal table"
luxury_G_2-2.png,"luxury, modern, wood","Black, Navy, Yellow","vineyard, watering hole, dining room","coffee table, cocktail table, snifter, brandy snifter, brandy glass, pedestal table"
luxury_I_2-1.png,"wood, traditional, bathroom","Ivory, Beige, Khaki","sandbox, dining room, zen garden","plate rack, altar, communion table, Lord's table, dining table, board"
luxury_G_2-3.png,"luxury, bathroom, modern","Black, Navy, Ivory","watering hole, dining room, ballroom","coffee table, cocktail table, tamp, tamper, tamping bar, car bomb"
luxury_G_1.png,"luxury, industrial, modern","Ivory, Black, Navy","dining room, watering hole, utility room","coffee table, cocktail table, base, pedestal, stand, pedestal table"
simple_F_2-2.png,"bathroom, wood, modern","Beige, Ivory, Yellow","excavation, art studio, utility room","merchandise, ware, product, base, pedestal, stand, furnishing, trappings"
simple_E_2-2.png,"wood, bathroom, modern","Beige, Ivory, Khaki","bedroom, living room, dining room","furniture, piece of furniture, article of furniture, base, pedestal, stand, pedestal table"
simple_E_2-3.png,"wood, modern, bathroom","Beige, Ivory, Khaki","bedroom, living room, dining room","base, pedestal, stand, furniture, piece of furniture, article of furniture, console table, console"
simple_F_2-3.png,"bathroom, modern, wood","Beige, Ivory, Khaki","utility room, dining room, art studio","base, pedestal, stand, pedestal table, coffee table, cocktail table"
simple_E_1.png,"wood, modern, office","Ivory, Beige, Khaki","dining room, living room, bedroom","furniture, piece of furniture, article of furniture, taboret, tabouret, console table, console"
simple_E_2-1.png,"wood, modern, cozy","Beige, Ivory, Khaki","living room, bedroom, dining room","base, pedestal, stand, furniture, piece of furniture, article of furniture, console table, console"
simple_F_1.png,"industrial, bathroom, wood","Beige, Khaki, Ivory","excavation, utility room, art studio","base, pedestal, stand, pedestal table, console table, console"
simple_F_2-1.png,"wood, bathroom, modern","Beige, Ivory, Khaki","excavation, utility room, art studio","base, pedestal, stand, coffee table, cocktail table, table"
sci-fi_E_1.png,"office, science-fiction, modern","Navy, Silver, Gray","clean room, home office, office cubicles","scanner, digital scanner, image scanner, reception desk, computerized axial tomography scanner, CAT scanner"
sci-fi_E_2-3.png,"office, bathroom, science-fiction","Silver, Gray, Navy","clean room, server room, computer room","scanner, digital scanner, image scanner, scanner, electronic scanner, computerized axial tomography scanner, CAT scanner"
sci-fi_F_2-3.png,"science-fiction, bathroom, industrial","Silver, Gray, White","chemistry lab, clean room, science museum","analytical balance, chemical balance, detector, sensor, sensing element, tube, vacuum tube, thermionic vacuum tube, thermionic tube, electron tube, thermionic valve"
sci-fi_F_2-1.png,"science-fiction, bathroom, industrial","Silver, Gray, White","clean room, chemistry lab, science museum","tube, vacuum tube, thermionic vacuum tube, thermionic tube, electron tube, thermionic valve, detector, sensor, sensing element, Tesla coil"
sci-fi_E_2-2.png,"office, science-fiction, bathroom","Silver, Gray, Navy","clean room, sandbox, server room","scanner, digital scanner, image scanner, scanner, electronic scanner, computerized axial tomography scanner, CAT scanner"
sci-fi_F_2-2.png,"science-fiction, bathroom, modern","Silver, Gray, White","clean room, chemistry lab, science museum","analytical balance, chemical balance, detector, sensor, sensing element, tube, vacuum tube, thermionic vacuum tube, thermionic tube, electron tube, thermionic valve"
sci-fi_F_1.png,"industrial, science-fiction, bathroom","Silver, Gray, Ivory","engine room, oilrig, fountain","slip ring, sump pump, agglomerator"
sci-fi_E_2-1.png,"science-fiction, office, bathroom","Silver, Gray, Blue","clean room, sandbox, operating room","scanner, digital scanner, image scanner, scanner, electronic scanner, computerized axial tomography scanner, CAT scanner"
korean tradition_H_2-3.png,"wood, traditional, office","Ivory, Brown, Khaki","archaelogical excavation, excavation, sandbox","urn, spittoon, cuspidor, dice cup, dice box"
korean tradition_I_2-3.png,"wood, traditional, office","Beige, Ivory, Khaki","sandbox, throne room, sauna","furniture, piece of furniture, article of furniture, dais, podium, pulpit, rostrum, ambo, stump, soapbox, base, pedestal, stand"
korean tradition_G_1.png,"wood, traditional, industrial","Beige, Ivory, Khaki","barndoor, dining room, art gallery","console table, console, drop-leaf table, taboret, tabouret"
korean tradition_G_2-3.png,"traditional, wood, bathroom","Ivory, Beige, Khaki","sandbox, dining room, entrance hall","console table, console, furniture, piece of furniture, article of furniture, base, pedestal, stand"
korean tradition_I_2-2.png,"wood, traditional, office","Beige, Ivory, Khaki","sandbox, throne room, dining room","furniture, piece of furniture, article of furniture, dais, podium, pulpit, rostrum, ambo, stump, soapbox, etagere"
korean tradition_I_1.png,"wood, traditional, office","Beige, Ivory, Khaki","zen garden, exterior gazebo, art studio","koto, etagere, fire screen, fireguard"
korean tradition_H_2-2.png,"wood, office, bathroom","Brown, Khaki, Ivory","archaelogical excavation, sandbox, excavation","urn, ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin, coffer"
korean tradition_I_2-1.png,"wood, bathroom, traditional","Beige, Ivory, Khaki","sandbox, throne room, sauna","furniture, piece of furniture, article of furniture, etagere, dais, podium, pulpit, rostrum, ambo, stump, soapbox"
korean tradition_H_1.png,"wood, traditional, modern","Ivory, Beige, Khaki","art studio, art gallery, zen garden","taboret, tabouret, console table, console, drop-leaf table"
korean tradition_G_2-1.png,"traditional, wood, office","Ivory, Beige, Khaki","sandbox, dining room, entrance hall","furniture, piece of furniture, article of furniture, console table, console, base, pedestal, stand"
korean tradition_H_2-1.png,"wood, office, traditional","Brown, Ivory, Beige","archaelogical excavation, sandbox, kindergarden classroom","urn, spittoon, cuspidor, dice cup, dice box"
korean tradition_G_2-2.png,"traditional, wood, simple","Ivory, Beige, Khaki","dining room, sandbox, entrance hall","pedestal table, console table, console, furniture, piece of furniture, article of furniture"
neon_H_2-3.png,"neon, science-fiction, antiuqe","Green, Silver, Pink","physics laboratory, chemistry lab, sandbox","gas ring, instillator, lens, electron lens"
neon_I_1.png,"neon, bathroom, office","Pink, Purple, Silver","ticket booth, indoor booth, throne room","base, pedestal, stand, reception desk, lectern, reading desk"
neon_H_2-1.png,"science-fiction, neon, antiuqe","Green, Silver, Yellow","physics laboratory, oilrig, chemistry lab","lens, electron lens, electron multiplier, instillator"
neon_I_2-3.png,"neon, bathroom, luxury","Pink, Silver, Purple","indoor booth, ticket booth, throne room","base, pedestal, stand, reception desk, stand"
neon_I_2-2.png,"neon, bathroom, office","Pink, Silver, Purple","indoor booth, ticket booth, discotheque","base, pedestal, stand, reception desk, theremin"
neon_G_1.png,"neon, science-fiction, office","Navy, Blue, Black","discotheque, television studio, arcade","base, pedestal, stand, lectern, reading desk, table-tennis table, ping-pong table, pingpong table"
neon_H_1.png,"neon, science-fiction, simple","Green, Yellow, Silver","sandbox, exterior gazebo, carrousel","base, pedestal, stand, triode, neon lamp, neon induction lamp, neon tube"
neon_H_2-2.png,"science-fiction, neon, simple","Green, Silver, Navy","physics laboratory, chemistry lab, fountain","lens, electron lens, electron multiplier, stroboscope, strobe, strobe light"
neon_I_2-1.png,"neon, bathroom, office","Pink, Silver, Purple","indoor booth, throne room, ticket booth","base, pedestal, stand, reception desk, stand"
neon_G_2-3.png,"neon, bathroom, office","Navy, Black, Ivory","home theater, sandbox, television studio","base, pedestal, stand, lectern, reading desk, joystick"
neon_G_2-1.png,"neon, office, bathroom","Black, Navy, Yellow","sandbox, discotheque, arcade","base, pedestal, stand, joystick, stick, control stick, joystick"
neon_G_2-2.png,"neon, office, bathroom","Green, Black, Ivory","sandbox, arcade, conference room","base, pedestal, stand, joystick, stick, control stick, joystick"
wood_I_2-3.png,"wood, modern, office","Ivory, Beige, White","dining room, shopfront, home office","drop-leaf table, dining table, board, dining-room furniture"
wood_H_2-2.png,"wood, modern, traditional","Beige, Khaki, Ivory","television studio, television room, shopfront","theremin, radio receiver, receiving set, radio set, radio, tuner, wireless, radio, wireless"
wood_I_2-2.png,"wood, modern, office","Beige, Ivory, White","dining room, home office, art studio","drop-leaf table, dining table, board, furniture, piece of furniture, article of furniture"
wood_I_2-1.png,"wood, modern, office","Ivory, Beige, White","dining room, home office, living room","drop-leaf table, dining table, board, chopping board, cutting board"
wood_G_2-2.png,"wood, bathroom, modern","Beige, Ivory, Brown","dining room, sauna, utility room","drop-leaf table, pedestal table, washbasin, handbasin, washbowl, lavabo, wash-hand basin"
wood_G_2-1.png,"wood, modern, traditional","Beige, Ivory, Brown","dining room, art studio, lobby","drop-leaf table, pedestal table, dining table, board"
wood_G_2-3.png,"wood, modern, traditional","Beige, Ivory, Brown","dining room, art studio, lobby","drop-leaf table, pedestal table, furniture, piece of furniture, article of furniture"
wood_H_2-1.png,"wood, modern, traditional","Beige, Ivory, Khaki","television room, television studio, shopfront","theremin, sideboard, cabinet, console"
wood_G_1.png,"wood, modern, traditional","Beige, Ivory, Brown","dining room, art studio, zen garden","pedestal table, base, pedestal, stand, drop-leaf table"
wood_I_1.png,"wood, modern, office","Beige, Ivory, White","dining room, home office, art studio","drop-leaf table, console table, console, pedestal table"
wood_H_2-3.png,"wood, modern, traditional","Beige, Khaki, Ivory","television room, television studio, home office","theremin, sideboard, cabinet, console"
wood_H_1.png,"wood, modern, office","Beige, Ivory, Khaki","television room, television studio, home office","sideboard, cabinet, console, radiogram, radiograph, shadowgraph, skiagraph, skiagram"
street_H_2-1.png,"wood, bathroom, industrial","Beige, Ivory, Silver","conference room, dining room, lecture room","base, pedestal, stand, reception desk, pedestal table"
street_I_2-2.png,"industrial, office, wood","Gray, Silver, Navy","utility room, art school, clean room","theremin, base, pedestal, stand, tamp, tamper, tamping bar"
street_G_2-2.png,"industrial, wood, modern","Gray, Silver, Beige","art studio, art gallery, art school","drafting board, drawing board, dining table, board, chopping board, cutting board"
street_I_1.png,"industrial, office, wood","Gray, Silver, Navy","utility room, clean room, dining room","base, pedestal, stand, console table, console, lectern, reading desk"
street_G_2-1.png,"industrial, office, modern","Gray, Silver, Beige","utility room, clean room, excavation","washboard, splashboard, drafting board, drawing board, drainboard, draining board"
street_H_1.png,"wood, office, industrial","Beige, Khaki, Ivory","conference room, lecture room, office cubicles","base, pedestal, stand, reception desk, lectern, reading desk"
street_I_2-3.png,"industrial, science-fiction, bathroom","Silver, Gray, Navy","utility room, clean room, excavation","base, pedestal, stand, candlestick, candle holder, pedestal, plinth, footstall"
street_I_2-1.png,"industrial, wood, office","Gray, Silver, Navy","utility room, art school, schoolhouse","tamp, tamper, tamping bar, theremin, base, pedestal, stand"
street_G_2-3.png,"industrial, wood, office","Gray, Silver, Ivory","art studio, art school, art gallery","drafting board, drawing board, dining table, board, drop-leaf table"
street_H_2-2.png,"wood, bathroom, industrial","Beige, Silver, Ivory","fountain, conference room, dining room","base, pedestal, stand, pedestal table, pedestal, plinth, footstall"
street_G_1.png,"industrial, office, modern","Silver, Gray, Ivory","dining room, clean room, utility room","drafting table, drawing table, drafting board, drawing board, console table, console"
street_H_2-3.png,"bathroom, wood, industrial","Beige, Silver, Ivory","excavation, construction site, fountain","base, pedestal, stand, pedestal, plinth, footstall, pedestal table"
