color,acon/bed room/White Bed Room.png,acon/bed room/Spectaculer Bed Roomset.png,acon/office/office2.png,acon/office/office4.png,acon/office/office1.png,acon/office/office3.png,acon/office/office5.png,acon/cafe/cafe7.png,acon/cafe/cafe2.png,acon/cafe/cafe5.png,acon/cafe/cafe3.png,acon/cafe/cafe4.png,acon/cafe/cafe1.png,acon/modern dining room/Luxury Furniture.png,acon/modern dining room/Living Room.png,acon/modern dining room/Cozy Funiture.png,acon/modern dining room/Funiture.jpeg,acon/modern dining room/Dreamlike shelf.png,acon/modern dining room/Green Plant Room.png,acon/modern dining room/Soft Dining Room.png,acon/modern dining room/Elegant Furniture Products.png,acon/modern dining room/Ethnic Funiture Set.png,acon/modern dining room/Wooden Funiture.png,acon/modern dining room/Dining Room Furniture.png,acon/modern dining room/Gaming Room.png,acon/modern dining room/Holiday Marketing.png,acon/modern dining room/Home Office Funiture.png,acon/park/park4.png,acon/park/park3.png,acon/park/park1.png,acon/park/park5.png,acon/park/park2.png,acon/library/library4.png,acon/library/library1.png,acon/library/library3.png,acon/library/library2.png,acon/library/library5.png,acon/yard with table/Yard with Table.png
White,13.175199392247201,14.361388646364212,14.052970687937735,15.433067382550242,12.066470258927346,18.881783155441283,13.33383143258095,14.881639631462098,10.995425823974607,14.047101829624175,18.410905575919152,21.718548574995996,15.041066434979438,11.022755003094671,12.66310755431652,13.088932403016091,19.621178562831876,13.936611633253099,19.521797771406174,9.813615175557137,7.274835812139511,20.36411593899727,10.133580171012879,7.279072124886513,1.62225376303196,13.826613810849189,10.07699125726223,9.928594513607027,9.63447760858536,30.372096353173255,12.011992094516753,25.244945837235456,13.300744609570504,15.285247988104821,11.563672094440461,14.931002236413956,20.709357080173493,23.65405191643238
Yellow,0.0,0.0,0.0,1.0256914805889146,0.0,0.0,6.7450850513935094,6.3956201127529155,7.837068267583845,3.7515130913019163,7.62987638463974,17.295524652552604,17.666552929759025,0.15706711990833,0.0,0.5065889274120323,3.5764909387111636,6.0362891183614735,0.0,0.523355459737779,0.0,0.15292907555103596,0.0,0.0,11.979843984699247,0.0,0.0,30.922073234629632,32.593709698796275,0.13758881092071107,1.846327559685708,4.9744193975687025,12.995605397844317,0.0,6.478704607796669,3.3166096312046065,20.24162600617409,0.0
Blue,3.532190326046946,6.337383210659027,10.765844446682928,6.960114772057535,8.42079027018547,10.509564082360267,7.124421683526041,9.884431768798828,5.480540888071058,6.324783774590491,7.36013529536724,25.958747476696967,5.543728877377507,3.6318860771894457,5.915236713981628,2.579499027991295,11.464239441251753,9.745918673419952,7.657563431119918,4.806367138409616,6.668014926815033,7.6872194171667125,3.9597895568847665,9.104758138084412,13.725568263411521,14.638411634254455,6.475221850419045,12.698294219970705,9.825157197380069,20.211640751218795,9.290008057403565,14.677494190526012,14.642475755357744,9.719005739951132,19.452837099003794,5.803140550756453,18.945108422470096,15.511472903442382
Red,17.137545497059822,13.103048032259942,24.549278396487235,18.792891349339488,35.77950224823952,19.036911485934258,33.585501189899446,16.032813187980654,16.974507193756104,20.61032022807598,23.317228450512886,31.856379626607897,17.560952464437484,15.509037433552741,16.51331436238289,9.570503564929961,17.021905916643142,15.482407543206214,18.681866051244736,9.906769988799095,20.688948532819747,16.698823505091667,9.262293595290185,14.085397749352454,16.199588113760946,15.667864211297033,18.574992822766305,26.073296885848045,19.86371556043625,39.3813091322422,28.80745520014763,38.72454068477154,18.743678939771655,32.41493419327736,26.84190708360672,18.324821420955658,33.09832538535595,17.380619421124457
Green,10.411774620461465,9.810419725203515,14.359367224431036,17.390969056200984,32.004226951670645,23.696066973757745,11.666251762175563,3.7957045319318787,11.34347296311855,3.613904547858237,11.08011820268631,17.222975016784666,4.460471518754957,11.491349910616874,8.47515116636753,5.577693266606332,12.163654612660407,22.367697092676163,7.112970417737959,4.739842367601396,11.298257652449607,9.182560179281236,5.979188347125055,3.4345088055133814,19.43407383942604,10.671015055131912,8.873392643427849,0.0,9.812945708584788,12.083996674966812,8.183673330593109,20.47896549730301,14.069350827074052,3.892046024250984,0.0,10.331270476317407,12.833883196520805,17.4021581492424
Black,0.21718361887931792,3.6596692195415503,2.894690393805501,0.0,13.72328827984333,1.4117773410797128,0.0,0.0,0.0,0.0,1.8767688941478724,0.013108985400201334,4.371402211761474,2.2729106993436794,1.663462813782692,1.9436791887998588,0.0,0.0,2.0711767440080635,0.0,1.7227340274572356,0.0,0.03608586218357246,2.3181929825305936,17.718615796375275,2.34410193068981,1.354035679793359,3.7746518326520935,6.0597094395160696,3.3416560937166224,0.0,4.715546618604662,0.0,1.8220196204185513,0.5364454752922079,2.0868633343219756,0.0,2.2542360838174815
Brown,15.169357447481158,11.32325992410183,17.891991296887397,16.090543979930878,25.5989182592392,12.500994261598587,26.711501757192615,14.439597815084458,12.672180069947242,14.746971354031562,20.54098870744705,19.654137166810035,13.840887168264388,18.884624409556388,12.660799641799926,7.878663684034347,17.318135859847068,15.008157683587076,7.739713232493401,7.482030867218972,14.725684028816222,19.623305891895296,7.671100132203103,12.146064017558096,10.82822097969055,13.500932857584953,10.728685552477838,18.641115976309777,12.333020149016384,23.41260600745678,15.918104661250116,27.62353300461769,15.73755201508999,25.656597784352304,15.878869722414017,15.240942312407494,12.644449100971222,10.864652840089796
Beige,19.31810432071686,12.598165700984001,21.932237779331206,22.715608331203462,35.79191132304668,24.387484365439416,32.36061428430081,18.90122237315178,19.902568947196006,21.140409012913704,24.74967082364559,36.65115771815777,17.44493198685646,16.90810621187687,15.077024948668479,14.927762070178986,24.726788984799384,15.336515316534044,17.449919730997085,9.03451105811596,14.924449362277983,23.549489302468302,11.394673620224,15.847489302396774,7.09414089784622,18.739287282323836,13.63212527215481,15.686322450542452,25.589210078811647,27.181938025975228,18.447356031632424,35.452957545447354,26.37716623647213,34.6414911908865,25.71133577105999,24.671333538937567,34.904603726172446,20.856543084812163
Ivory,17.955342956399917,11.861573489904405,24.862686183357237,21.92427179796696,35.13402769095897,25.983933444094657,26.567173681712152,19.70138920891285,24.39023425116539,16.150719239234924,24.701592205119134,34.49218166873455,22.96802168908119,20.711994203186034,17.16854484269619,17.348933179831505,26.26752517225742,12.597329319930077,19.31922826731205,14.34634600763321,17.54498618199825,24.649537847733498,13.971743625807763,18.105999805307388,0.0,21.890677350664138,16.592329783773422,25.59689817378521,24.933392217063904,35.72434965257644,25.902150044703482,36.770036430835724,17.045334419178964,30.63825251121521,18.31966213567257,26.556009817290306,25.532570712685587,22.45971356999874
Silver,9.85257213637829,8.991504531455039,19.846357957553863,16.06719868040085,26.722744379615783,11.394065519976616,19.03989457893372,18.66671662604809,27.917565783691405,17.568899713277816,15.079958769369124,38.25795624666214,22.41988072376251,16.01341581737995,11.248993614983558,12.43786209359169,22.728188160848617,14.854449885201454,10.594919653511047,9.940836136746407,11.27289828622341,7.365337036776545,9.538013541841508,10.538143996858597,8.074087678337095,20.065360224509238,12.04260485420227,19.192292934370045,19.41839591393471,37.85482423999309,21.33073473751545,30.668164703440667,15.814362537002566,19.47163944938183,16.685090304636958,19.67043216705322,22.026889579939844,20.955119574165344
Purple,9.855078841900827,11.839285990285873,22.53531501238346,18.41886505184174,36.89612306380272,11.920440112137795,27.628715599012377,13.609654178738595,0.8068365694761255,15.97091614792347,12.880562299609183,32.856463336586955,5.037667707777022,16.450436904549598,10.59837901930809,6.068830561494828,15.149488227963445,9.593713944673539,7.206540976428986,6.727547434282304,14.300889182591437,14.749903011608126,5.636624079442026,6.343208673048018,16.359037292671204,13.375871222996711,11.192634137368202,9.138066947817805,0.0,6.635080999302865,8.537900606489181,10.495903843784333,8.989739512729646,12.263227605700493,10.576700368046762,16.995033130908013,37.602212982153894,11.931462885832786
Navy,6.6674141163826,15.990284507870674,12.671131579852103,13.724850339365007,14.88744402372837,25.068987168884277,13.025657981371882,8.64472949435711,5.027058342075346,9.358286795425416,11.702435922193526,9.701832938981056,5.0398718055963485,5.250768632650374,9.020607791447638,1.9210036697149278,4.8128855153560615,7.088596798205376,23.439341268873214,5.477845513081551,7.072461910510063,20.56912327544689,5.098553327727318,7.494631605577467,9.92434100279808,10.671816604852676,8.173056995797157,11.138361127209663,9.851081665086749,26.165782389783857,15.928917655062676,23.8452118026495,22.05013804283142,7.097519352173805,18.076323968720438,5.0664944743394855,25.12508228580952,15.390456106448173
Gray,2.675087396287921,3.889672364020347,7.582185739183423,2.740721830511095,5.604820230674743,6.875316487741472,5.251259548401833,4.380214183473589,5.909191545581816,0.40130010464191557,0.0,0.0,0.0,0.0,3.06162228937149,0.0,13.647007577133177,3.922756205105781,0.11831572411060165,3.3306622332572946,4.708325711894036,2.446566132688524,1.0646820626974112,5.093685482120513,21.361295666217803,6.000247597289084,4.646305488634111,6.726642318582535,1.3312542605400104,0.0,5.1913631368637105,0.0,3.7152475946187984,10.039673171091081,15.46739786055088,8.59330254600048,7.684939013242722,3.8965767087697962
Orange,3.3623339332818993,5.114381073045731,7.750358221817017,9.937997242164613,26.57183350007534,26.088587447595597,5.096422219300273,6.078601353549958,17.599209829902648,5.814038516044617,4.930862943816184,5.32153825261593,4.01222003660202,3.975288519620893,4.31619337940216,0.9909030956983571,3.401336799407005,11.471875400090218,5.101001647543907,3.016226847410202,7.761876481127738,11.319862960362435,3.7673989276885997,4.5454079540967935,21.38885604572296,6.244358006763457,7.734081098771096,4.1836800175189985,4.507647069358828,15.705633385658263,11.832275267720224,14.982397650980953,23.70411874175072,8.236269077682497,8.789516344475746,0.0,4.78118390469551,8.506330268239974
Pink,7.115016789102556,9.744460966539382,14.167155760359762,8.343501049089433,12.93961212644577,23.209250764346123,12.11635114309788,7.589002656364443,6.800536759424208,7.515854956746102,11.053074080348013,23.932762398862838,7.260088565993307,6.473224991536139,5.811985016775131,4.350602733945847,6.924950982236862,11.329991249847414,8.869673645853995,5.534120633220674,6.882116306185722,10.65536722006798,5.714826738619806,7.701564875125884,7.583512976789473,12.113130752134323,7.969565404796601,7.571927313446999,11.652679145765308,11.724364678788184,7.6999897862195965,13.993838021278382,19.783876163744928,13.144162292551997,12.53942835342884,10.666646687626839,31.737362159395218,12.257847368979453
Khaki,17.73134099419117,9.04712281856537,18.940690416693684,16.31097209029198,36.634130436491965,24.59148450462818,29.88942154862881,16.07311737689972,7.359054205632209,20.095064806938172,21.543828639841077,30.850491893315315,9.38292029867172,13.856476140356062,12.894194097208976,7.404081627750397,15.457234860467908,12.264963685059548,12.699256896233559,8.953013361024858,17.671883162140844,25.852039755749704,9.103174448657036,16.521150520420072,12.030154044675825,17.56422993183136,13.046523008203508,24.377121084666253,13.166505425310138,16.982557285761832,12.363916643500328,28.826735923886304,22.144473926520348,34.13226650779247,16.0603218947649,16.618398343133926,32.98404450185299,13.243211591958998
